time_since_trigger,rollback,capacity_multiplier,n.val,mean,median,q5,q95,time_since_trigger_wks
-9,pr6,0.6,67,1.02784640969491,1.02475034903643,0.991659182151569,1.06613993190571,-1.28571428571429
-9,pr8,0.6,69,1.01533210109128,1.01494403187697,0.978288591004204,1.05394024217908,-1.28571428571429
-8,pr2,0.6,70,1.06788610412216,1.06757291627887,1.03093935111898,1.10135642169643,-1.14285714285714
-8,pr4,0.6,73,1.03726104890701,1.03282176762163,1.00180375814313,1.07332405992723,-1.14285714285714
-8,pr6,0.6,67,1.00386795895171,1.00052677373196,0.971029335047943,1.04120328941229,-1.14285714285714
-8,pr8,0.6,69,0.978340748975219,0.975172129767724,0.941305206040262,1.0226043950277,-1.14285714285714
-7,pr2,0.6,70,1.05887236551,1.05775438597949,1.02333320695074,1.0940824923247,-1
-7,pr4,0.6,73,1.02034140482434,1.01806613342536,0.986754432175866,1.05540693951891,-1
-7,pr6,0.6,67,0.977299989411299,0.976177465733203,0.946904420284009,1.01667087717566,-1
-7,pr8,0.6,69,0.936664002188197,0.935498268391961,0.897236000515154,0.984024085117483,-1
-6,pr2,0.6,70,1.04941265659537,1.05004078784692,1.01459455887008,1.08252531348827,-0.857142857142857
-6,pr4,0.6,73,1.00244020950692,1.00130656464859,0.9677369775949,1.03738095022952,-0.857142857142857
-6,pr6,0.6,67,0.949117205470412,0.950016503156226,0.917544579199084,0.990639382678726,-0.857142857142857
-6,pr8,0.6,69,0.89192062488869,0.890702021781705,0.848388018454136,0.940554758407968,-0.857142857142857
-5,pr2,0.6,70,1.03978605423927,1.04012230145381,1.00512584250238,1.07344344707742,-0.714285714285714
-5,pr4,0.6,73,0.984158108453007,0.986105865428195,0.948101336697995,1.02179217051521,-0.714285714285714
-5,pr6,0.6,67,0.920343936414895,0.92185323604589,0.884773632313532,0.963300140836679,-0.714285714285714
-5,pr8,0.6,69,0.845847701013003,0.843448077557765,0.799162739965324,0.895524243050277,-0.714285714285714
-4,pr2,0.6,70,1.03023042762233,1.0338305999838,0.994737946533645,1.06499376827386,-0.571428571428571
-4,pr4,0.6,73,0.966107483664997,0.967113301373236,0.929442053313825,1.00294385459554,-0.571428571428571
-4,pr6,0.6,67,0.891881573779128,0.891814093616392,0.854072895478949,0.934215604594783,-0.571428571428571
-4,pr8,0.6,69,0.799876888041978,0.795718165335721,0.752351653601111,0.850888106435819,-0.571428571428571
-3,pr2,0.6,70,1.02108818941458,1.02195680432262,0.986761427128758,1.0559335918175,-0.428571428571429
-3,pr4,0.6,73,0.948857283133644,0.947868489819128,0.912082982016324,0.983412013461331,-0.428571428571429
-3,pr6,0.6,67,0.864519375736189,0.863686023802579,0.825086373600016,0.904697239705381,-0.428571428571429
-3,pr8,0.6,69,0.755187268885872,0.74814834402489,0.706720295872163,0.805323152659316,-0.428571428571429
-2,pr2,0.6,70,1.01262534434271,1.01214919097477,0.980176878909382,1.04899690904508,-0.285714285714286
-2,pr4,0.6,73,0.932779266871232,0.930670061835854,0.896200009355649,0.96690239683787,-0.285714285714286
-2,pr6,0.6,67,0.838806906571447,0.837288173614826,0.798519643735794,0.87658566246917,-0.285714285714286
-2,pr8,0.6,69,0.712471271690997,0.706495290695972,0.663509258402023,0.760827897060874,-0.285714285714286
-1,pr2,0.6,70,1.00497422425983,1.0042456310313,0.974494135212493,1.0419900604921,-0.142857142857143
-1,pr4,0.6,73,0.918080879246804,0.916979825478211,0.8827952601124,0.952242870341188,-0.142857142857143
-1,pr6,0.6,67,0.815049221203884,0.811689996999594,0.774957132312648,0.851466208813958,-0.142857142857143
-1,pr8,0.6,69,0.672108572737348,0.665200452920981,0.62345088304719,0.718813023951872,-0.142857142857143
0,pr2,0.6,70,0.998137639437284,0.99584466958778,0.96920413759402,1.03751492325859,0
0,pr4,0.6,73,0.904870967879572,0.902570034737024,0.871910069986486,0.941519123715702,0
0,pr6,0.6,67,0.793263780550074,0.787578241292506,0.754470882802169,0.828999588086395,0
0,pr8,0.6,69,0.634159970320215,0.627449915185441,0.586026913305715,0.68166283583811,0
1,pr2,0.6,70,0.992062123079658,0.987910220921495,0.96367073327255,1.03109672523897,0.142857142857143
1,pr4,0.6,73,0.8930360231021,0.890996117001802,0.861744927954962,0.930891568749456,0.142857142857143
1,pr6,0.6,67,0.773358401014083,0.768319932782241,0.73675707323915,0.810410643452463,0.142857142857143
