scen_num,sample_num,capacity_multiplier,exp_name,date,group_id,reopen,delay,rollback,crit_det,date_min,date_max,type,subtype,days_above
1636,148,0.8,20210517_IL_localeEMS_11_50perc_1daysdelay_pr2_triggeredrollback_reopen,2020-12-08,1544,50perc,1daysdelay,weak (20%),540,2020-12-08,2021-01-09,threshold,above_threshold,32.2361359570617
897,81,0.6,20210517_IL_localeEMS_11_50perc_1daysdelay_pr2_triggeredrollback_reopen,2020-12-09,853,50perc,1daysdelay,weak (20%),532,2020-12-09,2021-02-09,threshold,above_threshold,62.5760286225379
1814,164,1,20210517_IL_localeEMS_11_50perc_1daysdelay_pr2_triggeredrollback_reopen,2020-12-09,1716,50perc,1daysdelay,weak (20%),538,2020-12-09,2021-02-15,threshold,above_threshold,68.2647584973165
2177,197,1,20210517_IL_localeEMS_11_50perc_1daysdelay_pr2_triggeredrollback_reopen,2020-12-09,2064,50perc,1daysdelay,weak (20%),541,2020-12-09,2021-01-08,threshold,above_threshold,30.3398926654734
901,81,1,20210517_IL_localeEMS_11_50perc_1daysdelay_pr2_triggeredrollback_reopen,2020-12-10,857,50perc,1daysdelay,weak (20%),534,2020-12-10,2021-02-03,threshold,above_threshold,54.9910554561737
1051,95,0.6,20210517_IL_localeEMS_11_50perc_1daysdelay_pr2_triggeredrollback_reopen,2020-12-10,1002,50perc,1daysdelay,weak (20%),529,2020-12-10,2021-02-04,threshold,above_threshold,55.9391771019692
1077,97,1,20210517_IL_localeEMS_11_50perc_1daysdelay_pr2_triggeredrollback_reopen,2020-12-10,1027,50perc,1daysdelay,weak (20%),531,2020-12-10,2021-02-15,threshold,above_threshold,67.3166368515238
1286,116,1,20210517_IL_localeEMS_11_50perc_1daysdelay_pr2_triggeredrollback_reopen,2020-12-10,1219,50perc,1daysdelay,weak (20%),547,2020-12-10,2021-01-31,threshold,above_threshold,52.1466905187843
1363,123,1,20210517_IL_localeEMS_11_50perc_1daysdelay_pr2_triggeredrollback_reopen,2020-12-10,1295,50perc,1daysdelay,weak (20%),527,2020-12-10,2021-01-16,threshold,above_threshold,36.9767441860504
776,70,0.6,20210517_IL_localeEMS_11_50perc_1daysdelay_pr2_triggeredrollback_reopen,2020-12-11,737,50perc,1daysdelay,weak (20%),520,2020-12-11,2021-01-14,threshold,above_threshold,34.1323792486583
