date,rt_median,scen_num,reopen
2020-10-13,1.13125457630717,317,50perc
2020-10-13,1.13051297106135,319,50perc
2020-10-13,1.10391344241089,320,50perc
2020-10-13,1.14315580300935,324,50perc
2020-10-13,1.10183675087219,326,50perc
2020-10-13,1.12920498955562,335,50perc
2020-10-13,1.14680640450338,345,50perc
2020-10-13,1.11896698717323,350,50perc
2020-10-13,1.10908577834379,354,50perc
2020-10-13,1.14739122083045,359,50perc
2020-10-13,1.14081498973973,365,50perc
2020-10-13,1.13478053983309,366,50perc
2020-10-13,1.11266317843839,368,50perc
2020-10-13,,370,50perc
2020-10-13,1.1367465738318,375,50perc
2020-10-13,1.12778762494472,376,50perc
2020-10-13,1.12850441519217,381,50perc
2020-10-13,1.11599603344059,384,50perc
2020-10-13,1.12046838027188,386,50perc
2020-10-13,1.13361350500728,398,50perc
2020-10-14,1.12469011503768,3,50perc
2020-10-14,1.14015212925794,6,50perc
2020-10-14,1.11287106513221,11,50perc
2020-10-14,1.12149677292066,14,50perc
2020-10-14,1.11915102346546,17,50perc
2020-10-14,1.12735900050102,18,50perc
2020-10-14,1.14432490012954,27,50perc
2020-10-14,1.11780810099109,30,50perc
2020-10-14,1.13425564148854,35,50perc
2020-10-14,1.1060736116807,37,50perc
2020-10-14,1.11333619556362,49,50perc
2020-10-14,1.14139433474972,50,50perc
2020-10-14,1.12622855572929,57,50perc
2020-10-14,1.11426541780608,58,50perc
2020-10-14,1.12900185317315,59,50perc
2020-10-14,1.13186468002005,63,50perc
2020-10-14,1.12201564267299,65,50perc
2020-10-14,1.12003260529932,66,50perc
2020-10-14,1.12489882332784,69,50perc
2020-10-14,1.13815848085854,71,50perc
2020-10-14,1.12344522372845,73,50perc
2020-10-14,1.10583070440917,81,50perc
2020-10-14,1.12315054683677,101,50perc
2020-10-14,1.12539336236434,102,50perc
2020-10-14,1.1178756160312,104,50perc
2020-10-14,1.1267921387103,110,50perc
2020-10-14,1.15502712181252,111,50perc
2020-10-14,1.14453380000963,116,50perc
2020-10-14,1.12794992190339,122,50perc
2020-10-14,1.13567966176106,127,50perc
2020-10-14,1.11458822948788,134,50perc
2020-10-14,1.10904813251705,137,50perc
2020-10-14,1.11375281676366,140,50perc
2020-10-14,1.12036864124568,144,50perc
2020-10-14,1.10233632895342,147,50perc
2020-10-14,1.12449846574134,149,50perc
2020-10-14,1.12905566882129,150,50perc
2020-10-14,1.11269546527726,151,50perc
2020-10-14,1.10591719794532,152,50perc
2020-10-14,1.12802371365702,156,50perc
2020-10-14,1.13515606396259,157,50perc
2020-10-14,1.12953871407655,159,50perc
2020-10-14,1.10574682157341,164,50perc
2020-10-14,1.14688235345725,165,50perc
2020-10-14,1.13186609788438,175,50perc
2020-10-14,1.12502218501427,195,50perc
2020-10-14,1.12803281080274,199,50perc
2020-10-14,1.12908241343574,211,50perc
2020-10-14,1.13326783639458,212,50perc
2020-10-14,1.12600861266422,223,50perc
2020-10-14,1.12353274778183,224,50perc
2020-10-14,1.12714836087164,225,50perc
2020-10-14,1.10688566560995,227,50perc
2020-10-14,1.13460724935883,231,50perc
2020-10-14,1.12334681726454,234,50perc
2020-10-14,1.1401709635878,235,50perc
2020-10-14,1.14130639279498,245,50perc
2020-10-14,1.12368626254253,253,50perc
2020-10-14,1.11669942461924,258,50perc
2020-10-14,1.11743378264686,259,50perc
2020-10-14,1.09633331401757,262,50perc
2020-10-14,,264,50perc
2020-10-14,1.10095008987395,266,50perc
2020-10-14,1.11767836767066,269,50perc
2020-10-14,1.11404085597438,271,50perc
2020-10-14,1.11513093300611,272,50perc
2020-10-14,1.13132354049587,274,50perc
2020-10-14,1.12971338299811,276,50perc
2020-10-14,1.12287235975711,277,50perc
2020-10-14,1.11935826540495,278,50perc
2020-10-14,1.13628444841855,279,50perc
2020-10-14,1.13277188131871,281,50perc
2020-10-14,1.13317255235706,284,50perc
2020-10-14,1.12672942921878,293,50perc
2020-10-14,1.13668383242445,294,50perc
2020-10-14,1.13592282055658,295,50perc
2020-10-14,1.11929581532874,296,50perc
2020-10-14,1.14801121220253,297,50perc
2020-10-14,1.10758382024429,300,50perc
2020-10-14,1.12815278515215,310,50perc
2020-10-14,1.13038837617041,317,50perc
2020-10-14,1.12978976062334,319,50perc
2020-10-14,1.10354932297663,320,50perc
2020-10-14,1.14171863713656,324,50perc
2020-10-14,1.10185957897305,326,50perc
2020-10-14,1.12821316858714,335,50perc
2020-10-14,1.14645404196422,345,50perc
2020-10-14,1.12039263756819,350,50perc
2020-10-14,1.11031412369305,354,50perc
2020-10-14,1.14725830536957,359,50perc
2020-10-14,1.14101449911399,365,50perc
2020-10-14,1.13395285629181,366,50perc
2020-10-14,1.11480406670457,368,50perc
2020-10-14,,370,50perc
2020-10-14,1.13644779130596,375,50perc
2020-10-14,1.1280370039362,376,50perc
2020-10-14,1.12729484275662,381,50perc
2020-10-14,1.11427908702601,384,50perc
2020-10-14,1.1219244445023,386,50perc
2020-10-14,1.1339308081626,398,50perc
2020-10-15,1.12416869871676,3,50perc
2020-10-15,1.1398180534992,6,50perc
2020-10-15,1.11270627986079,11,50perc
2020-10-15,1.12233551111964,14,50perc
2020-10-15,1.1190533553376,17,50perc
2020-10-15,1.12742694207517,18,50perc
2020-10-15,1.14554537666507,27,50perc
2020-10-15,1.11744343643005,30,50perc
2020-10-15,1.13390835973661,35,50perc
2020-10-15,1.10514907253311,37,50perc
2020-10-15,1.11212465710214,49,50perc
2020-10-15,1.14087094348568,50,50perc
2020-10-15,1.1252110610561,57,50perc
2020-10-15,1.11327089487699,58,50perc
2020-10-15,1.127639788051,59,50perc
