reopen,mitigation,delay,capacity_multiplier,n,rel_occupancy_peak_lower,rel_occupancy_peak_median,rel_occupancy_peak_upper,time_to_peak_after_reopen_lower,time_to_peak_after_reopen_median,time_to_peak_after_reopen_upper,time_to_peak_after_trigger_lower,time_to_peak_after_trigger_median,time_to_peak_after_trigger_upper,time_to_trigger_after_reopen_lower,time_to_trigger_after_reopen_median,time_to_trigger_after_reopen_upper
,,,0.4,6375,0.794573643410853,0.922480620155039,1.43992248062016,105.856887298748,115.338103756709,120.078711985692,15,31,47,70.6726296958879,83.9463327370281,97.2200357781765
,,,0.6,4335,0.955426356589147,1.21124031007752,1.51937984496124,106.805008944543,117.2343470483,120.078711985692,10,21,30,84.8944543828264,96.2719141323809,108.597495527728
,,,0.8,1530,1.24806201550388,1.37403100775194,1.67829457364341,115.338103756709,116.286225402507,118.182468694095,11,14,20,96.2719141323809,102.434704830055,107.649373881933
,,,1,1020,1.63953488372093,1.71414728682171,1.79457364341085,114.38998211091,115.812164579608,118.182468694095,11,12.5,15,101.012522361361,102.908765652952,105.753130590339
,,,0.4,15045,0.63953488372093,0.781007751937985,1.00387596899225,84.9982110912353,103.012522361361,120.078711985692,10,14,21,72.568872987479,88.6869409660112,107.649373881933
,,,0.6,9690,0.906976744186047,1.09786821705426,1.29457364341085,97.3237924865827,113.441860465115,120.078711985692,7,13,18,84.8944543828264,98.6422182468684,110.493738819322
,,,0.8,4590,1.07364341085271,1.29941860465116,1.59108527131783,105.856887298748,116.286225402507,120.078711985692,5,11,14,96.2719141323809,103.856887298748,115.2343470483
,,,1,1530,1.36046511627907,1.58817829457364,1.78875968992248,113.441860465115,116.286225402507,119.130590339894,6,11,14,101.012522361361,106.227191413238,113.338103756709
,,,0.4,17340,0.627906976744186,0.743217054263566,0.959302325581395,84.9982110912353,101.116279069768,116.286225402507,8,11,15,73.5169946332745,89.161001788909,107.649373881933
,,,0.6,11220,0.89922480620155,1.05426356589147,1.21899224806202,97.3237924865827,112.493738819322,119.130590339894,7,12,15,84.8944543828264,98.6422182468684,110.493738819322
,,,0.8,5100,1.1233527131783,1.27906976744186,1.58187984496124,109.459749552774,116.286225402507,119.177996422184,7.85000000000005,11,12,98.9740608228982,105.279069767441,110.730769230772
,,,1,2040,1.35852713178295|1.35271317829457,1.57751937984496|1.56589147286822,1.75387596899225|1.73449612403101,110.597495527728|110.597495527728,114.864042933811|114.864042933811,119.130590339894|119.130590339894,6|6,10|10,11|11,101.012522361361|101.012522361361,104.330948121646|104.330948121646,113.338103756709|113.338103756709
,,,0.4,17595,0.62015503875969|0.51937984496124,0.72093023255814|0.604651162790698,0.930232558139535|0.718992248062015,84.050089445437|77.4132379248656,101.116279069768|94.4794275491961,118.182468694095|114.38998211091,6|8,11|11,14|15,73.5169946332745|66.8801431127003,89.6350626118067|82.9982110912353,107.649373881933|102.908765652952
,,,0.6,11475,0.885658914728682,1.04457364341085,1.16279069767442,97.3237924865827,109.649373881933,119.130590339894,7,11,15,84.8944543828264,99.1162790697675,110.493738819322
